mes_dia,descripcion
"0000","No aplica"
"0820","martes 20 de agosto"
"0821","miércoles 21 de agosto"
"0822","jueves 22 de agosto"
"0823","viernes 23 de agosto"
"0824","sábado 24 de agosto"
"0825","domingo 25 de agosto"
"0826","lunes 26 de agosto"
"0830","viernes 30 de agosto"
"0831","sábado 31 de agosto"
"0901","domingo 1 de septiembre"
"0902","lunes 2 de septiembre"
"0903","martes 3 de septiembre"
"0904","miércoles 4 de septiembre"
"0905","jueves 5 de septiembre"
"0909","lunes 9 de septiembre"
"0910","martes 10 de septiembre"
"0911","miércoles 11 de septiembre"
"0912","jueves 12 de septiembre"
"0913","viernes 13 de septiembre"
"0914","sábado 14 de septiembre"
"0915","domingo 15 de septiembre"
"0919","jueves 19 de septiembre"
"0920","viernes 20 de septiembre"
"0921","sábado 21 de septiembre"
"0922","domingo 22 de septiembre"
"0923","lunes 23 de septiembre"
"0924","martes 24 de septiembre"
"0925","miércoles 25 de septiembre"
"0929","domingo 29 de septiembre"
"0930","lunes 30 de septiembre"
"1001","martes 1 de octubre"
"1002","miércoles 2 de octubre"
"1003","jueves 3 de octubre"
"1004","viernes 4 de octubre"
"1005","sábado 5 de octubre"
"1009","miércoles 9 de octubre"
"1010","jueves 10 de octubre"
"1011","viernes 11 de octubre"
"1012","sábado 12 de octubre"
"1013","domingo 13 de octubre"
"1014","lunes 14 de octubre"
"1015","martes 15 de octubre"
"1019","sábado 19 de octubre"
"1020","domingo 20 de octubre"
"1021","lunes 21 de octubre"
"1022","martes 22 de octubre"
"1023","miércoles 23 de octubre"
"1024","jueves 24 de octubre"
"1025","viernes 25 de octubre"
"1029","martes 29 de octubre"
"1030","miércoles 30 de octubre"
"1031","jueves 31 de octubre"
"1101","viernes 1 de noviembre"
"1102","sábado 2 de noviembre"
"1103","domingo 3 de noviembre"
"1104","lunes 4 de noviembre"
"1108","viernes 8 de noviembre"
"1109","sábado 9 de noviembre"
"1110","domingo 10 de noviembre"
"1111","lunes 11 de noviembre"
"1112","martes 12 de noviembre"
"1113","miércoles 13 de noviembre"
"1114","jueves 14 de noviembre"
